Team,Titles,Finals_Appearances,Semi_Finals,Matches_Played,Matches_Won,Matches_Lost,Ties_NR,Win_Percentage,Total_Runs,Wickets_Taken,Batting_Avg,Bowling_Avg,Net_Run_Rate,Knockout_Win_Pct
Australia,6,8,9,105,78,25,2,74.3,26480,820,36.8,24.2,0.72,75.0
India,2,4,8,95,63,30,2,66.3,24890,745,35.4,26.1,0.58,61.5
South Africa,0,0,5,74,45,26,3,60.8,19840,580,35.1,26.9,0.62,25.0
New Zealand,0,2,9,99,59,38,2,59.6,24120,710,33.2,27.5,0.38,44.4
Pakistan,1,2,6,88,49,37,2,55.7,21450,650,31.2,27.8,0.15,50.0
West Indies,2,3,4,80,43,35,2,53.8,18920,560,30.8,28.9,0.18,50.0
England,1,4,6,98,51,44,3,52.0,23150,690,31.8,28.4,0.22,45.5
Sri Lanka,1,3,4,89,40,46,3,44.9,20890,610,29.5,30.1,-0.12,57.1
Bangladesh,0,0,0,49,16,32,1,32.7,10950,320,24.5,36.2,-0.85,0.0
Afghanistan,0,0,0,24,5,19,0,20.8,5420,165,25.8,34.5,-0.68,0.0
